Entry	Entry name	Gene names	Cross-reference (GeneID)
Q12194	RGL1_YEAST	RGL1 YPL066W LPE4W	856039;
Q12063	UPPS_YEAST	NUS1 YDL193W D1239	851334;
Q9URQ3	TAD3_YEAST	TAD3 YLR316C	851027;
P11914	MPPA_YEAST	MAS2 MIF2 YHR024C	856419;
P53281	LSB1_YEAST	LSB1 YGR136W	853037;
Q03406	SLD5_YEAST	SLD5 YDR489W	852100;
Q06667	IPK1_YEAST	IPK1 GSL1 YDR315C	851910;
P42837	FIG4_YEAST	FIG4 YNL325C N0330	855392;
P15703	BGL2_YEAST	BGL2 SCW9 YGR282C	853199;
Q08270	YO131_YEAST	YOL131W	853989;
P28003	FUN19_YEAST	FUN19 YAL034C	851199;
P32465	HXT1_YEAST	HXT1 HOR4 YHR094C	856494;
P38691	KSP1_YEAST	KSP1 YHR082C	856482;
Q03125	NRG1_YEAST	NRG1 MSS1 YDR043C YD5112.01C	851613;
Q08743	YO292_YEAST	YOR292C	854467;
P36094	SPC42_YEAST	SPC42 YKL042W YKL255	853824;
Q05022	RRP5_YEAST	RRP5 FMI1 YMR229C YM9959.11C	855269;
P40438	VTH1_YEAST	VTH1 YIL173W	854634;
Q07738	YD241_YEAST	YDL241W	851356;
Q06213	MED10_YEAST	NUT2 MED10 YPR168W P9325.2	856297;
P40303	PSA4_YEAST	PRE6 YOL038W	854119;
P32801	ELM1_YEAST	ELM1 YKL048C YKL261	853818;
Q03944	VPS64_YEAST	VPS64 FAR9 YDR200C YD9346.10C	851781;
P36525	RM24_YEAST	MRPL24 MRPL14 YMR193W YM9646.05	855231;
P32657	CHD1_YEAST	CHD1 YER164W SYGP-ORF4	856911;
P43616	DUG1_YEAST	DUG1 YFR044C	850605;
P0CF00	YL57E_YEAST	YLR157W-E	1466413;
Q3E735	YO034_YEAST	YOR034C-A NOR002C	1466482;
P20436	RPAB3_YEAST	RPB8 YOR224C YOR50-14	854399;
P38174	MAP2_YEAST	MAP2 YBL091C YBL0701	852187;
Q12324	YVC1_YEAST	YVC1 YOR087W YOR088W YOR3151W	854255;
P53257	TPC1_YEAST	TPC1 YGR096W	852988;
Q06058	SEI1_YEAST	SEI1 FLD1 YLR404W	851120;
P40483	YIK8_YEAST	YIL108W	854698;
P40456	ESL1_YEAST	ESL1 YIL151C	854655;
P40046	VTC1_YEAST	VTC1 NRF1 PHM4 YER072W	856803;
P48564	MRX6_YEAST	MRX6 YNL295W N0462	855421;
Q08702	APTX_YEAST	HNT3 YOR258W	854432;
P51401	RL9B_YEAST	RPL9B RPL8B YNL067W N2406 YNL2406W	855658;
Q00416	SEN1_YEAST	SEN1 YLR430W L9576.1	851150;
P32368	SAC1_YEAST	SAC1 RSD1 YKL212W	853668;
Q03205	YD042_YEAST	YDR042C YD6888.04c	851612;
P34223	UBX1_YEAST	SHP1 UBX1 YBL058W YBL0509 YBL0515	852222;
Q03735	NAB6_YEAST	NAB6 YML117W YM8339.02	854922;
Q12358	JLP1_YEAST	JLP1 YLL057C L0572	850669;
P46970	NMD5_YEAST	NMD5 KAP119 YJR132W J2112	853596;
P06243	CDC7_YEAST	CDC7 OAF2 YDL017W D2855	851545;
P48837	NUP57_YEAST	NUP57 YGR119C G6320	853016;
Q12291	BMT6_YEAST	BMT6 YLR063W L2174	850752;
P22146	GAS1_YEAST	GAS1 GGP1 YMR307W YM9952.09	855355;
Q02979	GDE1_YEAST	GDE1 YPL110C	855994;
P53841	BSC4_YEAST	BSC4 YNL269W N0670	855452;
P32452	PHA2_YEAST	PHA2 YNL316C N0351	855400;
P25642	IMG2_YEAST	IMG2 YCR071C YCR71C	850434;
P38323	CLPX_YEAST	MCX1 YBR227C YBR1524	852528;
Q03532	HAS1_YEAST	HAS1 YMR290C	855335;
Q02574	MEC3_YEAST	MEC3 PIP3 PSO9 YLR288C L8003.15	850995;
P32454	APE2_YEAST	APE2 LAP1 YKL157W YKL158W YKL611 YKL612	853699;
Q02651	SMA1_YEAST	SMA1 YPL027W	856080;
Q02793	SKI8_YEAST	SKI8 REC103 YGL213C	852659;
P53070	MTO1_YEAST	MTO1 IPS1 YGL236C	852616;
Q92317	NCB2_YEAST	NCB2 YDR1 YDR397C	852006;
Q03099	YMN3_YEAST	YML133C YM4987.01C YM4987.02C	854906;
P47163	EFM3_YEAST	EFM3 YJR129C J2061	853593;
Q06001	FAR10_YEAST	FAR10 YLR238W	850939;
P16522	CDC23_YEAST	CDC23 YHR166C	856571;
P50090	KEL2_YEAST	KEL2 YGR238C G8585	853153;
P47057	SNX4_YEAST	SNX4 ATG24 CVT13 YJL036W J1244	853416;
P29468	PAP_YEAST	PAP1 YKR002W	853871;
Q99380	OST4_YEAST	OST4 YDL232W	851366;
P38725	PAU13_YEAST	PAU13 YHL046C	856339;
P38334	TRS20_YEAST	TRS20 YBR254C YBR1722	852556;
P32771	FADH_YEAST	SFA1 SFA YDL168W	851386;
P33301	XRS2_YEAST	XRS2 YDR369C D9481.13	851975;
Q12465	RAX2_YEAST	RAX2 YLR084C L2389 L9449.12	850773;
P32641	RAD24_YEAST	RAD24 YER173W SYGP-ORF60	856920;
P07277	KIME_YEAST	ERG12 RAR1 YMR208W YM8261.02	855248;
P22803	TRX2_YEAST	TRX2 TRX1 YGR209C G7746	853123;
Q08817	SOG2_YEAST	SOG2 YOR353C	854535;
P25043	PSB2_YEAST	PUP1 YOR157C	854328;
P33759	RT05_YEAST	MRPS5 YBR251W YBR1704	852553;
P32336	NUD1_YEAST	NUD1 YOR373W	854555;
P47002	SSY5_YEAST	SSY5 APF8 YJL156C J0570	853285;
P40453	UBP7_YEAST	UBP7 YIL156W	854650;
Q06142	IMB1_YEAST	KAP95 YLR347C L8300.15	851061;
P40552	TIR3_YEAST	TIR3 YIB1 YIL011W	854804;
P53035	MIG2_YEAST	MIG2 MLZ1 YGL209W	852663;
Q02866	MUK1_YEAST	MUK1 YPL070W	856035;
P47001	CIS3_YEAST	CIS3 CCW11 CCW5 PIR4 SCW8 YJL158C J0561	853282;
Q08748	YO296_YEAST	YOR296W	854471;
P43555	EMP47_YEAST	EMP47 YFL048C	850496;
P27801	PEP3_YEAST	PEP3 VAM8 VPS18 VPT18 YLR148W L9634.2	850840;
P38293	UMP1_YEAST	UMP1 YBR173C YBR1234	852471;
Q12226	AYT1_YEAST	AYT1 YLL063C L0549	850663;
P52919	NBP1_YEAST	NBP1 YLR457C L9122.6	851180;
Q12366	NDJ1_YEAST	NDJ1 TAM1 YOL104C	854047;
Q07350	PRP11_YEAST	PRP11 PRP10 RNA11 YDL043C D2711	851518;
Q12074	SPEE_YEAST	SPE3 YPR069C YP9499.24C	856182;
P25659	FUB1_YEAST	FUB1 YCR076C YCR76C	850439;
Q08553	SYC1_YEAST	SYC1 YOR179C	854351;
P53309	AP18B_YEAST	YAP1802 YGR241C G8610	853157;
P41821	MID1_YEAST	MID1 YNL291C N0530	855425;
P46670	TBCC_YEAST	CIN2 YPL241C P1043	855835;
P48412	UPF3_YEAST	UPF3 SUA6 YGR072W	852963;
P53331	REXO1_YEAST	RNH70 REX1 YGR276C G9381	853193;
P04076	ARLY_YEAST	ARG4 YHR018C	856411;
P40994	ARF3_YEAST	ARF3 YOR094W YOR3172W	854261;
Q6Q595	SCS22_YEAST	SCS22 YBL091C-A	852186;
Q92328	MDM12_YEAST	MDM12 YOL009C	854153;
Q03829	MME1_YEAST	MME1 YMR166C YM8520.15C	855202;
P38086	RDH54_YEAST	RDH54 TID1 YBR073W YBR0715	852365;
P25337	BUD31_YEAST	BUD31 CWC14 YCR063W YCR63W YCR903	850427;
P36138	YK25_YEAST	YKR045C	853919;
P38228	TCM62_YEAST	TCM62 YBR044C YBR0414	852332;
P35178	RRP1_YEAST	RRP1 YDR087C D4478	851660;
P27680	COQ3_YEAST	COQ3 YOL096C HRF316	854057;
P13186	KIN2_YEAST	KIN2 YLR096W L8004.3	850785;
Q08234	YO075_YEAST	YOL075C YOL074C	854080;
Q04471	YM04_YEAST	YMR114C YM9718.13C	855141;
P14063	RM31_YEAST	MRPL31 YKL138C	853720;
P33894	STE13_YEAST	STE13 YCI1 YOR219C YOR50-9	854394;
Q03792	RIM13_YEAST	RIM13 CPL1 YMR154C YM8520.03C	855186;
P38835	YHT1_YEAST	YHR131C	856532;
Q12044	RCN2_YEAST	RCN2 WSP1 YOR220W YOR50-10	854395;
Q05899	YL297_YEAST	YLR297W	851004;
P38912	IF1A_YEAST	TIF11 YMR260C YM8156.02C	855302;
P53286	BTN2_YEAST	BTN2 YGR142W	853043;
P06634	DED1_YEAST	DED1 SPP81 YOR204W	854379;
Q04545	TDA9_YEAST	TDA9 YML081W	854894;
Q12039	HMI1_YEAST	HMI1 YOL095C O0920	854058;
P25588	MRC1_YEAST	MRC1 YCL061C YCL61C/YCL60C	850297;
P34247	UTP11_YEAST	UTP11 YKL099C YKL449	853762;
P38771	RRF1_YEAST	RRF1 FIL1 KIM4 YHR038W	856433;
P16467	PDC5_YEAST	PDC5 YLR134W L3133 L9606.7	850825;
Q05497	YD338_YEAST	YDR338C D9651.8	851938;
P38229	GIP1_YEAST	GIP1 YBR045C YBR0420	852334;
Q3E806	YO316_YEAST	YOR316C-A	1466487;
Q03653	EFR3_YEAST	EFR3 YMR212C YM8261.06C	855252;
Q04235	TYW2_YEAST	TRM12 TYW2 YML005W YM9571.14	855008;
P32611	RML2_YEAST	RML2 YEL050C SYGP-ORF37	856660;
P47052	SDHX_YEAST	YJL045W J1194	853405;
Q08692	OSW1_YEAST	OSW1 YOR255W	854429;
P32344	COX24_YEAST	QRI5 COX24 YLR204W	850901;
P33310	MDL1_YEAST	MDL1 YLR188W L9470.3	850885;
P52920	NBP35_YEAST	NBP35 YGL091C	852789;
Q02201	OSH6_YEAST	OSH6 YKR003W YK102	853872;
Q06632	CFT1_YEAST	CFT1 YHH1 YDR301W	851895;
P51534	SHE4_YEAST	SHE4 YOR035C OR26.26	854200;
P25574	EMC1_YEAST	EMC1 YCL045C YCL315 YCL45C	850312;
P34216	EDE1_YEAST	EDE1 BUD15 YBL047C YBL0501 YBL0520	852233;
P32892	DRS1_YEAST	DRS1 YLL008W L1345	850652;
P32793	YSC84_YEAST	YSC84 LSB4 YHR016C	856409;
P47156	JHD2_YEAST	JHD2 YJR119C J2035	853583;
P25378	RHEB_YEAST	RHB1 RSG1 YCR027C YCR27C	850392;
Q03920	MTQ2_YEAST	MTQ2 MTC6 YDR140W	851718;
Q03246	RT17_YEAST	MRPS17 YMR188C YM8010.18C	855226;
Q02875	SYH1_YEAST	SYH1 YPL105C	855999;
P38167	ECM21_YEAST	ECM21 YBL101C YBL0814	852173;
P35999	PMIP_YEAST	OCT1 MIP1 YKL134C	853724;
P48566	GYP3_YEAST	MSB3 GYP3 YNL293W N0470	855423;
Q03786	GNTK_YEAST	YDR248C	851835;
P25045	LCB1_YEAST	LCB1 END8 TSC2 YMR296C	855342;
Q04062	RPN9_YEAST	RPN9 NAS7 YDR427W D9461.14	852037;
P53942	RNH2A_YEAST	RNH201 RNH35 YNL072W N2369	855652;
P07257	QCR2_YEAST	QCR2 COR2 UCR2 YPR191W P9677.6	856321;
Q12454	OCA6_YEAST	OCA6 YDR067C D4264	851639;
P87287	YD366_YEAST	YDR366C	851972;
P40582	GST1_YEAST	GTT1 YIR038C	854856;
P38931	SSN2_YEAST	SSN2 MED13 NUT8 RYE3 SCA1 SRB9 UME2 YDR443C	852053;
Q12071	VPS54_YEAST	VPS54 CGP1 LUV1 RKI1 TCS3 YDR027C PZF889 YD9813.05C	851591;
P36069	PMU1_YEAST	PMU1 YKL128C	853730;
P23179	SPO11_YEAST	SPO11 YHL022C	856364;
P40059	DOT6_YEAST	DOT6 PBF2 YER088C	856822;
Q08218	LDS2_YEAST	LDS2 YOL047C	854110;
P53894	CBK1_YEAST	CBK1 YNL161W N1727	855561;
P49957	TRM9_YEAST	TRM9 YML014W YM9571.04	854994;
Q03533	TDA1_YEAST	TDA1 YMR291W	855336;
P43582	WWM1_YEAST	WWM1 YFL010C	850538;
Q08750	MUM3_YEAST	MUM3 YOR298W	854473;
P33418	XPOT_YEAST	LOS1 YKL205W	853630;
O13578	YL415_YEAST	YLR415C	851133;
P05150	OTC_YEAST	ARG3 YJL088W J0924	853357;
P35727	BLI1_YEAST	BLI1 YKL061W YKL321	853804;
P38356	BSD2_YEAST	BSD2 YBR290W YBR2037	852593;
P53187	HOP2_YEAST	HOP2 YGL033W	852850;
Q12288	YL126_YEAST	YLR126C L3105	850817;
P34166	MFA2_YEAST	MFA2 YNL145W N1204 N1787	855577;
P34246	MTC2_YEAST	MTC2 YKL098W YKL448	853763;
P32341	VPH2_YEAST	VPH2 CLS10 VMA12 YKL119C YKL520	853741;
P53177	TYW3_YEAST	TYW3 YGL050W	852832;
Q08484	GYP1_YEAST	GYP1 YOR070C YOR29-21	854236;
Q01389	BCK1_YEAST	BCK1 LAS3 SLK1 SSP31 YJL095W J0906	853350;
Q03579	LIP1_YEAST	LIP1 YMR298W	855344;
P53843	IST1_YEAST	IST1 YNL265C N0809	855456;
P53963	YND4_YEAST	YNL034W N2740	855697;
P21304	PWP1_YEAST	PWP1 YLR196W L8167.10	850893;
Q04149	MUS81_YEAST	MUS81 SLX3 YDR386W D9509.6	851994;
Q07533	CYK3_YEAST	CYK3 YDL117W	851440;
P39929	SNF7_YEAST	SNF7 DID1 VPS32 YLR025W	850712;
P53954	ALG11_YEAST	ALG11 YNL048W N2510 YNL2510W	855679;
P00890	CISY1_YEAST	CIT1 GLU3 LYS6 YNR001C N2019	855732;
P32350	KNS1_YEAST	KNS1 YLL019C	850641;
P38123	SWD3_YEAST	SWD3 CPS30 SAF35 YBR175W YBR1237	852472;
Q04673	SSL1_YEAST	SSL1 YLR005W	850691;
O13539	THP2_YEAST	THP2 YHR167W	856572;
P38129	TAF5_YEAST	TAF5 TAF90 YBR198C YBR1410	852497;
P30902	ATP7_YEAST	ATP7 YKL016C	853853;
P27810	KTR1_YEAST	KTR1 YOR099W YOR3189W	854266;
P23500	MRS4_YEAST	MRS4 YKR052C	853926;
P27654	TIP1_YEAST	TIP1 YBR067C YBR0622	852359;
P35203	CBF3C_YEAST	CTF13 CBF3C YMR094W YM6543.01 YM9582.19	855119;
Q05610	DON1_YEAST	DON1 YDR273W D9954.4	851866;
P38627	URA8_YEAST	URA8 YJR103W J1962	853567;
P41816	OYE3_YEAST	OYE3 YPL171C P2291	855932;
Q03941	CAB5_YEAST	CAB5 YDR196C YD9346.07C	851777;
P47029	ALY2_YEAST	ALY2 ART3 YJL084C J0934	853361;
P11709	BIK1_YEAST	BIK1 YCL029C YCL29C	850328;
P43625	YFM7_YEAST	YFR057W	850618;
Q06096	COG4_YEAST	COG4 SEC38 SGF1 YPR105C P8283.16	856220;
P53908	YNO3_YEAST	YNL143C N1206 N1795	855579;
P36086	YKH1_YEAST	YKL071W	853792;
P40033	RSM18_YEAST	RSM18 YER050C	856776;
P38150	YB9Z_YEAST	YBR284W YBR2021	852587;
P35996	RM38_YEAST	MRPL38 MRPL34 YKL170W YKL634	853684;
P53154	GUP1_YEAST	GUP1 YGL084C	852796;
Q04004	PLP1_YEAST	PLP1 YDR183W YD9395.17	851764;
P05748	RL15A_YEAST	RPL15A RPL10A RPL13A YL10A YLR029C	850716;
Q06681	YSP2_YEAST	YSP2 LAM2 LTC4 YDR326C	851926;
P46675	STU2_YEAST	STU2 YLR045C L2108	850734;
Q04638	ITT1_YEAST	ITT1 YML068W	854934;
P48231	TCB2_YEAST	TCB2 YNL087W N2250	855637;
Q12012	YO289_YEAST	YOR289W	854463;
P25611	RDS1_YEAST	RDS1 YCR106W	850470;
Q04210	YET2_YEAST	YET2 YMR040W YM9532.05	855056;
P07263	SYH_YEAST	HTS1 YPR033C YP9367.13C	856145;
Q04489	ASND1_YEAST	YML096W	854877;
Q8TGM6	TAR1_YEAST	TAR1 ART1 YLR154W-C YLR154W-A	850849;
Q08422	TMC1_YEAST	TMC1 YOR052C YOR29-03	854217;
P09435	HSP73_YEAST	SSA3 YBL075C YBL06.07 YBL0610	852203;
P28817	HIBCH_YEAST	EHD3 MRP5 YDR036C YD9673.08C	851606;
P19516	COX11_YEAST	COX11 YPL132W LPI13W	855971;
P39564	YAN8_YEAST	YAR068W	851296;
P36148	GPT2_YEAST	GPT2 GAT1 YKR067W	853941;
P38622	RCK1_YEAST	RCK1 YGL158W G1854	852719;
P14904	AMPL_YEAST	APE1 API LAP4 YSC1 YKL103C YKL455	853758;
Q03508	YM8F_YEAST	YMR265C YM8156.07C	855307;
Q06702	CDA1_YEAST	CDA1 YLR307W L2142.2	851016;
P53891	YNQ5_YEAST	YNL165W N1710	855556;
P38745	YHB7_YEAST	YHL017W	856369;
Q7LHG5	YI31B_YEAST	TY3B-I YILWTy3-1 POL YIL082W-A	854728;
Q08550	MPC54_YEAST	MPC54 YOR177C	854349;
Q08964	YP216_YEAST	YPL216W	855885;
P53968	CRZ1_YEAST	CRZ1 HAL8 TCN1 YNL027W N2760	855704;
Q12398	HMS1_YEAST	HMS1 YOR032C OR26.22	854197;
P42842	EMW1_YEAST	EMW1 YNL313C N0364	855403;
P32804	ZRT1_YEAST	ZRT1 YGL255W NRC376	852637;
P45819	SPO74_YEAST	SPO74 YGL170C G1654	852705;
P15454	KGUA_YEAST	GUK1 YDR454C D9461.39	852065;
P54074	ASI1_YEAST	ASI1 YMR119W YM8564.01 YM9718.18	855147;
P33334	PRP8_YEAST	PRP8 DBF3 DNA39 RNA8 SLT21 USA2 YHR165C	856570;
P41698	BUD8_YEAST	BUD8 YLR353W L9638.3	851067;
Q04373	PUF6_YEAST	PUF6 YDR496C D9719.2	852107;
P53324	SAY1_YEAST	SAY1 YGR263C	853179;
P05745	RL36A_YEAST	RPL36A RPL39A YMR194W YM9646.06	855232;
P40561	SGN1_YEAST	SGN1 RBP29 YIR001C YIB1C	854817;
Q08965	BMS1_YEAST	BMS1 YPL217C	855884;
Q00916	RU17_YEAST	SNP1 YIL061C	854749;
P40069	IMB4_YEAST	KAP123 YRB4 YER110C	856846;
P32266	MGM1_YEAST	MGM1 MDM17 YOR211C YOR50-1	854386;
Q05854	YL278_YEAST	YLR278C L8003.10	850984;
P24870	CG23_YEAST	CLB3 YDL155W D1539	851400;
Q08001	LAM6_YEAST	LAM6 LTC1 YLR072W	850761;
Q12328	TIM22_YEAST	TIM22 YDL217C D0884	851309;
P25353	NPP1_YEAST	NPP1 YCR026C YCR246 YCR26C	850391;
P25619	HSP30_YEAST	HSP30 YCR021C YCR21C	850385;
Q12213	RL7B_YEAST	RPL7B RPL6B YL8B YPL198W	855903;
Q07913	NSE1_YEAST	NSE1 YLR007W	850693;
P33750	DCA13_YEAST	SOF1 YLL011W L1339	850649;
P53909	ADE_YEAST	AAH1 YNL141W N1208 N1825	855581;
P47146	ABM1_YEAST	ABM1 YJR108W J1988	853572;
P38910	CH10_YEAST	HSP10 CPN10 YOR020C OR26.10	854185;
P25808	SPB4_YEAST	SPB4 YFL002C	850549;
P20050	HOP1_YEAST	HOP1 YIL072W	854738;
P38634	SIC1_YEAST	SIC1 SDB25 YLR079W L9449.8	850768;
P49573	CTR1_YEAST	CTR1 YPR124W P9642.3	856241;
Q3E732	YL264_YEAST	YLR264C-A	1466417;
P32867	SSO1_YEAST	SSO1 YPL232W P1405	855844;
Q3E833	PCC1_YEAST	PCC1 YKR095W-A	1500489;
P38112	MAK5_YEAST	MAK5 YBR142W YBR1119	852439;
P40218	YM24_YEAST	YMR147W YM9375.17	855178;
P39975	RMD6_YEAST	RMD6 YEL072W	856637;
P39007	STT3_YEAST	STT3 YGL022W	852862;
P04912	H2A2_YEAST	HTA2 H2A2 YBL003C YBL0103	852283;
Q06820	MDM36_YEAST	MDM36 YPR083W	856198;
Q12306	SMT3_YEAST	SMT3 YDR510W D9719.15	852122;
P39980	SIT1_YEAST	SIT1 ARN3 YEL065W	856644;
Q3E7A7	YK018_YEAST	YKL018C-A	853850;
P53960	YNE0_YEAST	YNL040W N2679	855688;
P0CD99	MPH2_YEAST	MPH2 YDL247W	851350;
Q8TGQ7	YP159_YEAST	YPR159C-A	1466523;
P32910	RPC6_YEAST	RPC34 YNR003C N2031	855737;
P25617	YCQ6_YEAST	YCR016W YCR16W	850375;
P25847	MSH2_YEAST	MSH2 YOL090W O0935	854063;
Q04433	FIT1_YEAST	FIT1 YDR534C D9719.37	852147;
P16451	ODPX_YEAST	PDX1 YGR193C G7579	853107;
Q05676	SOM1_YEAST	SOM1 YEL059C-A YEL059BC	856650;
P53077	MTC3_YEAST	MTC3 YGL226W	852626;
P25596	GEX1_YEAST	GEX1 YCL073C YCL70C/YCL71C/YCL73C	850289;
Q03714	USA1_YEAST	USA1 YML029W	854979;
P0CX86	RL41A_YEAST	RPL41A RPL47A YL41A YDL184C D1290	851344;851422;
P0CX87	RL41B_YEAST	RPL41B RPL47B YL41B YDL133C-A YDL133BC	851344;851422;
P40032	TPA1_YEAST	TPA1 YER049W	856775;
P40460	NDC80_YEAST	NDC80 HEC1 TID3 YIL144W	854662;
Q12033	PALA_YEAST	RIM20 YOR275C	854449;
P03876	AI2M_YEAST	AI2 Q0055	854594;
P08593	MSS18_YEAST	MSS18 YPR134W P9659.8	856253;
Q12293	YO22A_YEAST	TY2A-OR2 YORWTy2-2 GAG YOR343W-A O6301	854522;
P23285	CYPB_YEAST	CPR2 CRG CYP2 SCC2 YHR057C	856454;
P32525	ECM25_YEAST	ECM25 YJL201W J0325	853229;
P22137	CLH_YEAST	CHC1 YGL206C	852666;
P38986	ASPG1_YEAST	ASP1 YDR321W D9798.6	851920;
Q04005	LIC4_YEAST	ATC1 LIC4 YDR184C YD9395.18c	851765;
Q12442	IZH2_YEAST	IZH2 PHO36 YOL002C UND327	854160;
Q08760	RAX1_YEAST	RAX1 YOR301W	854477;
P31373	CYS3_YEAST	CYS3 CYI1 STR1 YAL012W FUN35	851221;
P17260	KRE1_YEAST	KRE1 YNL322C N0336	855394;
P32893	TRS65_YEAST	TRS65 KRE11 YGR166W	853076;
P05066	PHR_YEAST	PHR1 YOR386W	854568;
P05318	RLA1_YEAST	RPP1A L12EIIA RPA1 RPLA1 YDL081C	851478;
Q2V2Q2	YC048_YEAST	YCL048W-A	3799968;
P53130	GPG1_YEAST	GPG1 YGL121C	852756;
P43556	RGD2_YEAST	RGD2 YFL047W	850497;
P53228	TAL2_YEAST	NQM1 YGR043C	852934;
Q12509	ARP6_YEAST	ARP6 YLR085C L2393 L9449.13	850774;
Q02785	PDR12_YEAST	PDR12 YPL058C LPE14C	856049;
P48415	SEC16_YEAST	SEC16 YPL085W LPF1W	856020;
Q04792	DCE_YEAST	GAD1 YMR250W YM9920.04	855291;
P53971	FAP1_YEAST	FAP1 YNL023C N2812	855708;
P32837	UGA4_YEAST	UGA4 YDL210W D1037	851317;
P32842	VATL2_YEAST	VMA11 CLS9 TFP3 YPL234C P1064	855842;
Q02749	YP068_YEAST	YPL068C	856037;
P32524	PRP21_YEAST	PRP21 SPP91 YJL203W J0322	853227;
P53937	SWS2_YEAST	SWS2 YNL081C N2322	855643;
P42839	VNX1_YEAST	VNX1 YNL321W N0339	855395;
Q04500	UTP14_YEAST	UTP14 YML093W	854881;
Q04922	MFB1_YEAST	MFB1 YDR219C	851805;
P47058	TAD2_YEAST	TAD2 YJL035C J1246	853417;
P10869	AK_YEAST	HOM3 YER052C	856778;
P38155	PAU24_YEAST	PAU24 DAN3 YBR301W YBR2120A	852603;
P47101	YJ00_YEAST	YJR030C J1575L	853487;
P36096	TUL1_YEAST	TUL1 YKL034W YKL247	853832;
Q03220	CTL1_YEAST	CTL1 YMR180C YM8010.10C	855218;
P39552	MST28_YEAST	MST28 YAR033W FUN59	851284;
P38792	RRP4_YEAST	RRP4 YHR069C	856466;
P40495	LYS12_YEAST	LYS12 LYS10 LYS11 YIL094C YI9910.02C	854714;
P32874	HFA1_YEAST	HFA1 YMR207C YM8261.01C YM8325.08C	855247;
P11484	SSB1_YEAST	SSB1 YG101 YDL229W	851369;
P42937	YCH1_YEAST	YCH1 YGR203W G7731	853117;
P34078	LTV1_YEAST	LTV1 YKL143W YKL2	853714;
P49956	CTF18_YEAST	CTF18 CHL12 YMR078C YM9582.03C	855102;
P40093	YEY6_YEAST	YER156C	856900;
P24000	RL24B_YEAST	RPL24B RPL30B YGR148C G6635	853051;
P08465	MET2_YEAST	MET2 YNL277W N0615	855444;
P46947	CWC26_YEAST	BUD13 CWC26 SLC7 YGL174W G1642	852701;
P38361	PHO89_YEAST	PHO89 ITN1 YBR296C YBR2113	852599;
P07834	CDC4_YEAST	CDC4 YFL009W	850539;
P39083	RGA1_YEAST	RGA1 DBM1 THE1 YOR127W O3290 YOR3290W	854294;
P38922	HRB1_YEAST	HRB1 TOM34 YNL004W N2009	855728;
Q12493	NKP1_YEAST	NKP1 YDR383C	851991;
P09734	TBA3_YEAST	TUB3 YML124C YM7056.02C	854915;
Q96VH3	YC021_YEAST	YCL021W-A	850338;
Q07979	RSC58_YEAST	RSC58 YLR033W	850720;
P40422	RPAB4_YEAST	RPC10 RPB12 YHR143W-A YHR143BW	856547;
P38720	6PGD1_YEAST	GND1 YHR183W	856589;
Q08560	YO186_YEAST	YOR186W	854358;
Q08686	THTR_YEAST	TUM1 YOR251C	854425;
Q03063	DIG1_YEAST	DIG1 RST1 YPL049C P7102.02	856058;
Q12480	ETFA_YEAST	AIM45 YPR004C LPZ4C YP9723.04C	856112;
P53045	MSMO_YEAST	ERG25 FET6 YGR060W	852951;
Q02792	XRN2_YEAST	RAT1 HKE1 TAP1 YOR048C	854213;
P11746	MCM1_YEAST	MCM1 FUN80 YMR043W YM9532.08	855060;
Q00873	CYT2_YEAST	CYT2 YKL087C	853775;
P47013	DS1P1_YEAST	LCB3 LBP1 YSR2 YJL134W J0671	853307;
Q06506	RRP9_YEAST	RRP9 YPR137W	856255;
Q12447	PAA1_YEAST	PAA1 YDR071C	851643;
P38903	2A5D_YEAST	RTS1 SCS1 YOR014W OR26.04	854179;
Q12396	EMP46_YEAST	EMP46 YLR080W	850769;
Q04749	AVO2_YEAST	AVO2 YMR068W YM9916.07	855090;
P53032	SUT1_YEAST	SUT1 YGL162W G1828	852714;
P47035	NET1_YEAST	NET1 CFI1 ESC5 SRM8 YJL076W J1038	853369;
Q00816	REG1_YEAST	REG1 HEX2 PZF240 SPP43 SRN1 YDR028C YD9813.06C	851592;
P80428	ARP4_YEAST	ARP4 ACT3 YJL081C J1012	853364;
P53935	NST1_YEAST	NST1 YNL091W N2231	855633;
Q08446	SGT1_YEAST	SGT1 YOR057W YOR29-08	854222;
P40339	RFC4_YEAST	RFC4 YOL094C O0923	854059;
P25638	TAH1_YEAST	TAH1 YCR060W YCR60W	850424;
P49704	PRP31_YEAST	PRP31 YGR091W	852983;
P40465	CSM2_YEAST	CSM2 YIL132C	854674;
P53145	LSG1_YEAST	LSG1 YGL099W	852779;
Q12025	EMC10_YEAST	EMC10 YDR056C D4219	851626;
P40328	TBP6_YEAST	YTA6 YPL074W LPF11C	856031;
Q06337	EAF1_YEAST	EAF1 VID21 YDR359C	851962;
P43558	OTU1_YEAST	OTU1 YFL044C	850500;
P53615	CAN_YEAST	NCE103 NCE3 YNL036W N2695	855692;
P38756	TCD1_YEAST	TCD1 YHR003C	856392;
P53326	YG5L_YEAST	YGR266W	853182;
P32857	PTM1_YEAST	PTM1 YKL039W YKL252	853827;
Q04902	SNO4_YEAST	SNO4 HSP34 YMR322C YM9924.14C	855372;
P53904	TBCB_YEAST	ALF1 YNL148C N1201 N1777	855574;
Q8TGT0	YM100_YEAST	YML100W-A	1466496;
P18410	SPO7_YEAST	SPO7 YAL009W	851224;
