Entry	Entry name	Gene names	Cross-reference (GeneID)
P25607	YCZ1_YEAST	YCR101C	850465;
P22216	RAD53_YEAST	RAD53 MEC2 SAD1 SPK1 YPL153C P2588	855950;
Q07978	YL031_YEAST	YLR031W	850718;
P17255	VATA_YEAST	VMA1 CLS8 TFP1 YDL185W D1286	851342;
Q04228	UBX2_YEAST	UBX2 SEL1 YML013W YM9571.05	854995;
P36519	RM07_YEAST	MRPL7 YDR237W YD8419.04	851823;
P25587	LDB16_YEAST	LDB16 YCL005W YCL5W	850351;
P40442	CSS1_YEAST	CSS1 HPF1' YIL169C YI9402.07C	854637;
P07280	RS19A_YEAST	RPS19A RP55A RPS16AA YOL121C	854028;
Q03648	YM59_YEAST	YMR209C YM8261.03C	855249;
P22133	MDHC_YEAST	MDH2 YOL126C	853994;
P09733	TBA1_YEAST	TUB1 YML085C	854889;
P48527	SYYM_YEAST	MSY1 YPL097W LPG11W	856007;
P51402	RL37B_YEAST	RPL37B RPL35B YDR500C D9719.6	852111;
P32904	RM06_YEAST	MRPL6 YHR147C	856552;
P38206	RFT1_YEAST	RFT1 YBL020W YBL0442	852261;
Q08745	RS10A_YEAST	RPS10A YOR293W	854468;
P38803	IPI1_YEAST	IPI1 YHR085W	856485;
P31412	VATC_YEAST	VMA5 VAT3 VATC YKL080W YKL410	853782;
Q08904	RDR1_YEAST	RDR1 YOR380W	854562;
Q07442	BDF2_YEAST	BDF2 YDL070W	851488;
P34221	PP2C3_YEAST	PTC3 YBL056W YBL0511 YBL0513	852224;
Q02208	TOF2_YEAST	TOF2 YKR010C YK109	853880;
P53064	RTF1_YEAST	RTF1 CSL3 YGL244W HRA458	852607;
P40463	VHS2_YEAST	VHS2 YIL135C	854671;
Q12745	SEC39_YEAST	SEC39 DSL3 YLR440C	851161;
P06773	DCTD_YEAST	DCD1 YHR144C	856548;
P50089	YG51_YEAST	YGR237C G8581	853152;
