MATA1	MATA1
YBL005W	PDR3
YBL021C	HAP3
YBL103C	RTG3
YBR049C	REB1
YBR083W	TEC1
YBR182C	SMP1
YBR240C	THI2
YCR106W	RDS1
YDL020C	RPN4
YDL048C	STP4
YDL056W	MBP1
YDL106C	PHO2
YDL170W	UGA3
YDR043C	NRG1
YDR123C	INO2
YDR146C	SWI5
YDR207C	UME6
YDR216W	ADR1
YDR253C	MET32
YDR259C	YAP6
YDR310C	SUM1
YDR421W	ARO80
YDR423C	CAD1
YDR451C	YHP1
YDR463W	STP1
YDR520C	URC2
YEL009C	GCN4
YER040W	GLN3
YER111C	SWI4
YER161C	SPT2
YER169W	RPH1
YFL021W	GAT1
YFL031W	HAC1
YFR034C	PHO4
YGL013C	PDR1
YGL035C	MIG1
YGL071W	AFT1
YGL073W	HSF1
YGL131C	SNT2
YGL162W	SUT1
YGL181W	GTS1
YGL237C	HAP2
YGR044C	RME1
YHL009C	YAP3
YHL020C	OPI1
YHL027W	RIM101
YHR084W	STE12
YHR178W	STB5
YHR206W	SKN7
YIL036W	CST6
YIL101C	XBP1
YIL131C	FKH1
YIR018W	YAP5
YIR023W	DAL81
YJL056C	ZAP1
YJL089W	SIP4
YJL110C	GZF3
YJR060W	CBF1
YJR094C	IME1
YKL015W	PUT3
YKL020C	SPT23
YKL032C	IXR1
YKL038W	RGT1
YKL043W	PHD1
YKL062W	MSN4
YKL109W	HAP4
YKL112W	ABF1
YKL185W	ASH1
YKR034W	DAL80
YKR099W	BAS1
YLR013W	GAT3
YLR098C	CHA4
YLR131C	ACE2
YLR176C	RFX1
YLR182W	SWI6
YLR256W	HAP1
YLR403W	SFP1
YLR451W	LEU3
YML007W	YAP1
YML027W	YOX1
YML051W	GAL80
YML081W	TDA9
YML099C	ARG81
YMR016C	SOK2
YMR019W	STB4
YMR021C	MAC1
YMR037C	MSN2
YMR042W	ARG80
YMR043W	MCM1
YMR053C	STB2
YMR070W	MOT3
YNL068C	FKH2
YNL103W	MET4
YNL139C	THO2
YNL167C	SKO1
YNL199C	GCR2
YNL216W	RAP1
YNL309W	STB1
YNL314W	DAL82
YOL028C	YAP7
YOL108C	INO4
YOR028C	CIN5
YOR113W	AZF1
YOR162C	YRR1
YOR344C	TYE7
YOR358W	HAP5
YOR372C	NDD1
YPL038W	MET31
YPL049C	DIG1
YPL075W	GCR1
YPL089C	RLM1
YPL202C	AFT2
YPL248C	GAL4
YPR065W	ROX1
YPR104C	FHL1
YPR199C	ARR1
